ID,Institute
101,Indian Institute of Technology Bhubaneswar
102,Indian Institute of Technology Bombay
103,Indian Institute of Technology Mandi
104,Indian Institute of Technology Delhi
105,Indian Institute of Technology Indore
106,Indian Institute of Technology Kharagpur
107,Indian Institute of Technology Hyderabad
108,Indian Institute of Technology Jodhpur
109,Indian Institute of Technology Kanpur
110,Indian Institute of Technology Madras
111,Indian Institute of Technology Gandhinagar
112,Indian Institute of Technology Patna
113,Indian Institute of Technology Roorkee
114,Indian Institute of Technology (ISM) Dhanbad
115,Indian Institute of Technology Ropar
116,Indian Institute of Technology (BHU) Varanasi
117,Indian Institute of Technology Guwahati
118,Indian Institute of Technology Bhilai
119,Indian Institute of Technology Goa
120,Indian Institute of Technology Palakkad
121,Indian Institute of Technology Tirupati
122,Indian Institute of Technology Jammu
123,Indian Institute of Technology Dharwad